command                 description
lsnwsdg                 List the effective system default gateways and the explicit declarations (overwrite setting)
lsowner                 Show owner for a specified file or directory.
lspasswordpolicy        Lists the password policy applicable to the whole cluster.
lsperfdata              Retrieves historical performance data as CSV output.
lspolicy                Lists the policies and rules that belong to the cluster and file system.
lspool                  Lists all pools.
lsprepop                Shows the status of pre-population of files on wcache.
lspsnap                 Lists peer snapshots.
lspsnaptask             Lists all psnap tasks.
lsquota                 Lists all quotas.
lsreconciletask         Lists the tasks scheduled for reconcile.
lsrepl                  Lists the result of asynchronous replications.
lsreplcfg               Lists configuration of asynchronous replications.
lsreplfs                Lists file system configured for asynchronous replication.
lsrepltarget            Lists target of asynchronous replications.
lsrepltask              Lists the tasks scheduled for asynchroneous replication.
lsservice               Lists all the services of a cluster.
lssessionpolicy         Lists the session policy applicable to the whole cluster.
lssettings              List the settings applicable to the whole cluster.
lssnapassoc             Lists the snapshot associations.
lssnapnotify            Lists the snapshot event notification settings.
lssnapops               Displays a list of queued and running snapshot operations.
lssnaprule              Lists the snapshot rules.
lssnapshot              Lists all snapshots.
lssnmpserver            Lists all configured SNMP servers.
lssoftwareupgradestatus Lists status of system upgrade to a new level of software.
lsstoragesystem         Lists the name, IP, and identifier of the actual configured storage system.
lssyslogserver          Lists existing syslog server definitions.
lstask                  Lists the scheduled tasks that belong to a management node for the selected cluster.
lstime                  Shows time.
lstrace                 Lists active traces.
lstsmnode               Lists TSM nodes in the cluster.
lsupdate                List status of system upgrade to a new level of software.
lsuser                  Lists all the command-line interface (CLI) users of the management node.
lsusergrp               Displays a list of user groups that have been created on the cluster.
lsvpd                   Displays VPD Information.
lswcache                Lists all the caching filesets for a given device in a cluster.
lswcachesource          Lists the WAN-caching sources on the home cluster.
lswcachestate           Lists all the caching filesets for a device in a cluster.
mkclone                 Creates a clone file of a specified archive.
mkdept                  Creates a new department.
mkdisk                  Creates storage system NAS volumes. Command is supported only on SONAS Gateway configuration and Storwize V7000 Unified.
mkemailserver           Creates email server definition.
mkemailuser             Creates an e-mail user.
mkexport                Creates a new share using one or more protocols.
mkfs                    Creates a file system.
mkfset                  Creates a file set.
mknasgroup              Create a local authentication NAS Group.
mknasuser               Creates a nas user for local authentication server.
mknw                    Defines a new network configuration for a subnet, and assigns multiple IP addresses and routes.
mknwbond                Creates a bond from the specified subordinate group.
mknwgroup               Creates a group of nodes to which a network configuration can be attached. See also the commands mknw and attachnw.
mknwnatgateway          Creates a clustered trivial database (CTDB) network address translation (NAT) gateway.
mkpolicy                Makes entries of the policy and rules in the database.
mkpolicytask            Schedules a task for data placement and data movement with the aid of a GPFS policy.
mkpsnap                 Creates the peer snapshot for a file set.
mkpsnaptask             Creates the psnap tasks to be executed periodically.
mkreconciletask         Schedules a reconcile task.
mkrepltarget            Declares source cluster and target path for replication.
mkrepltask              Schedules a task for asynchronous replication.
mksnapassoc             Associates a snapshot rule with a file set or file system.
mksnaprule              Creates a snapshot rule.
mksnapshot              Creates a file system snapshot.
mksnmpserver            Creates a new SNMP server definition.
mksyslogserver          Creates a new external syslog server configuration.
mktask                  Schedules a GUI or a cron task on the selected cluster that belongs to the management system.
mkuser                  Creates an administrative user ID for the management node.
mkusergrp               Creates a new user group.
mkwcache                Creates a WAN cache on the client cluster.
mkwcachenode            Configures cache features on the cluster. The administrator can later use this feature by creating a cached file set.
mkwcachesource          Creates a new WAN-caching share.
mountfs                 Mounts a file system.
querybackup             Queries backup summary for the specified file pattern.
restripefs              Re-balances or restores the replication of files in a file system.
resumenode              Resumes a list of nodes.
rmbackupfs              Removes file system to TSM server association.
rmcluster               Removes a cluster from the management node.
rmdept                  Command to remove a department
rmdisk                  Removes storage system NAS volumes.
rmemailserver           Removes email server definition.
rmemailuser             Removes email user definition.
rmexport                Removes the given share.
rmfs                    Removes an existing file system from the cluster.
rmfset                  Removes a file set.
rmidmapcacheentry       Removes the ID map cache entry.
rmjobstatus             Removes old logs and corresponding information.
rmlock                  Releases orphan locks acquired by crashed clients.
rmlog                   Removes all the log entries stored in the database.
rmnasgroup              Removes a local authentication NAS group.
rmnasuser               Removes a NAS user.
rmndmpcfg               Removes the NDMP data server configuration from sub group of existing interface nodes of a preconfigured cluster.
rmnw                    Deletes a network configuration.
rmnwbond                Deletes a regular bond interface.
rmnwdns                 Removes the name servers.
rmnwgroup               Removes a network group.
rmnwnatgateway          Removes the configuration of a clustered trivial database (CTDB) network address translation (NAT) gateway.
rmnwntp                 Removes one or more external NTP server.
rmpolicy                Removes a policy and all the rules associated with it.
rmpolicytask            Removes a scheduled task for data placement and data movement.
rmpsnap                 Removes a peer snapshot.
rmpsnaptask             Removes a psnap task.
rmreconciletask         Removes a scheduled reconcile task from a file system.
rmreplfs                Removes the replication file system association.
rmrepltarget            Removes a replication target created by mkrepltarget.
rmrepltask              Removes a scheduled task from asynchronous replication.
rmsnapassoc             Removes a snapshot rule and file set or file-system association.
rmsnapnotify            Disables notification for an event type.
rmsnaprule              Removes the snapshot rule.
rmsnapshot              Removes the snapshot.
rmsnmpserver            Removes an SNMP server definition.
rmstoragesystem         Removes the storage system from SONAS.
rmsyslogserver          Removes an external syslog server.
rmtask                  Removes a scheduled task that belongs to the management node on the selected cluster.
rmtsmnode               Removes TSM server stanza for the node.
rmuser                  Removes an administrative user ID for SoFS.
rmusergrp               Deletes a given user group that was created on the cluster.
rmwcache                Removes a caching file set.
rmwcachenode            Removes configuration of cache node/s of cache cluster.
rmwcachesource          Removes the specified WAN-caching source on the home cluster.
rpldisk                 Replaces a current disk with a specified disk.
runpolicy               Applies the policy on the nodes of a specified cluster for a specified device.
runprepop               Runs the prepop command to pre-populate the files on wcache.
runreplrecover          Recovers inactive asynchronous replications processes.
runtask                 Runs a scheduled task that belongs to the management node directly on the selected cluster.
setnwdns                Sets the name servers.
setnwntp                Sets one or more external Network Time Protocol (NTP) servers on the management node.
setpolicy               Sets placement policy rules for a GPFS file system.
setquota                Sets the quota settings.
setsnapnotify           Sets snapshot notification conditions.
settime                 Sets the time and date.
settz                   Sets the time zone.
showerrors              Displays the error log of a given jobcategory or jobID.
showlog                 Displays the log of a given jobcategory.
showreplresults         Displays replication errors and logs.
srvdump                 Manage dump files.
startbackup             Starts the backup process.
startemail              Enables email notifications.
startreconcile          Starts reconcile process.
startrepl               Starts asynchronous replication.
startrestore            Starts the restore process.
starttrace              Starts tracing of network traffic.
stopbackup              Stops a running TSM backup session.
stopcluster             Performs controlled shutdown of a cluster or node.
stopemail               Disables email notifications.
stopndmpsession         Stops NDMP Data sessions on existing interface nodes of a preconfigured cluster.
stoppolicy              Stops running policy jobs depending on the parameters specified.
stopreconcile           Stops a reconcile session.
stoprepl                Stops asynchronous replication.
stoprestore             Stops a restore session.
stoptrace               Stops a previously defined trace.
suspendnode             Suspends a list of nodes.
svc_snap                Gathers useful debug data from the cluster in a single operation, copying the relevant files in a single archive.
testcallhome            Test configuration and communication of call home
testemail               Sends a test email to all or a specified user.
unlinkfset              Delinks a file set.
unmountfs               Unmounts a file system.
updatefs                Updates a file system to be used with a new version.
